config,case,fit,syn,sem,sol,solMax
50-25-25,arbiter,1.73,0.87,0.58,351,499
50-25-25,arbiter,1.78,0.92,0.63,361,499
50-25-25,arbiter,nan,nan,nan,nan,499
50-25-25,arbiter,1.72,0.78,0.64,469,499
50-25-25,arbiter,1.69,0.82,0.57,420,499
50-25-25,arbiter,1.84,0.83,0.81,477,499
50-25-25,arbiter,1.81,0.86,0.73,499,499
50-25-25,arbiter,1.79,0.85,0.66,450,499
50-25-25,arbiter,1.83,0.85,0.77,428,499
50-25-25,arbiter,1.82,0.86,0.74,446,499
50-25-25,minepump,1.80,0.61,0.99,492,567
50-25-25,minepump,1.82,0.64,0.98,539,567
50-25-25,minepump,1.81,0.62,0.98,454,567
50-25-25,minepump,1.81,0.64,0.95,485,567
50-25-25,minepump,1.79,0.62,0.92,429,567
50-25-25,minepump,1.78,0.70,0.76,408,567
50-25-25,minepump,1.81,0.62,0.99,529,567
50-25-25,minepump,1.81,0.62,0.98,522,567
50-25-25,minepump,1.79,0.61,0.95,567,567
50-25-25,minepump,1.79,0.63,0.92,507,567
50-25-25,RG1,1.80,0.73,0.88,422,422
50-25-25,RG1,1.76,0.53,1.00,336,422
50-25-25,RG1,1.75,0.55,0.95,351,422
50-25-25,RG1,nan,nan,nan,nan,422
50-25-25,RG1,1.77,0.55,0.98,383,422
50-25-25,RG1,1.79,0.58,1.00,327,422
50-25-25,RG1,1.78,0.61,0.96,418,422
50-25-25,RG1,1.75,0.49,1.00,367,422
50-25-25,RG1,1.69,0.68,0.71,399,422
50-25-25,RG1,1.69,0.65,0.72,367,422
50-25-25,RG2,1.80,0.81,0.79,444,557
50-25-25,RG2,1.76,0.73,0.78,557,557
50-25-25,RG2,1.72,0.69,0.74,517,557
50-25-25,RG2,1.73,0.84,0.63,493,557
50-25-25,RG2,1.79,0.71,0.85,443,557
50-25-25,RG2,1.74,0.75,0.74,550,557
50-25-25,RG2,1.74,0.79,0.69,441,557
50-25-25,RG2,1.80,0.77,0.79,525,557
50-25-25,RG2,1.74,0.61,0.86,537,557
50-25-25,RG2,1.77,0.78,0.75,501,557
50-25-25,Lift,1.77,0.54,1.00,248,340
50-25-25,Lift,1.77,0.54,1.00,293,340
50-25-25,Lift,1.77,0.54,1.00,323,340
50-25-25,Lift,1.77,0.54,1.00,340,340
50-25-25,Lift,1.77,0.54,1.00,303,340
